Problem,Instance,Algorithm,Initial State,Final State,Initial Value,Final Value,Value Improvement,Optimal Steps,Local Steps,Optimality Gap,Solution Found,Steps,Runtime,Value History
8-Puzzle,48,Simulated Annealing (Linear),"(3, 2, 0, 8, 5, 4, 6, 1, 7)","(4, 1, 2, 3, 0, 5, 8, 7, 6)",-10,-6,-4,inf,240.0,inf,False,240,0.004967451095581055,"[-10, -11, -10, -9, -8, -9, -8, -9, -8, -9, -10, -9, -10, -11, -10, -11, -10, -11, -10, -11, -10, -11, -10, -11, -10, -11, -10, -11, -10, -11, -10, -11, -10, -11, -10, -11, -10, -11, -12, -11, -10, -11, -10, -11, -10, -11, -10, -11, -10, -11, -10, -11, -10, -9, -8, -7, -8, -7, -8, -7, -8, -7, -8, -9, -10, -9, -8, -7, -8, -7, -8, -7, -8, -7, -8, -7, -8, -7, -8, -7, -6, -7, -6, -7, -8, -7, -8, -9, -8, -9, -8, -9, -10, -9, -8, -9, -10, -9, -8, -9, -10, -9, -8, -9, -10, -11, -12, -13, -12, -13, -12, -13, -12, -11, -12, -11, -10, -11, -10, -9, -8, -9, -8, -9, -8, -9, -8, -9, -8, -7, -6, -7, -6, -7, -6, -7, -6, -7, -6, -7, -6, -7, -6, -7, -8, -7, -6, -7, -6, -7, -6, -7, -6, -7, -6, -7, -6, -7, -6, -7, -6, -7, -6, -7, -6, -7, -6, -7, -6, -7, -6, -7, -6, -7, -6, -7, -6, -7, -6, -7, -6, -7, -6, -7, -6, -7, -6, -7, -6, -7, -6, -7, -8, -7, -6, -7, -6, -7, -6, -7, -6, -7, -6, -7, -6, -7, -6, -7, -6, -7, -6, -7, -6, -7, -6, -7, -6, -7, -6, -7, -6, -7, -6, -7, -6, -7, -6, -7, -6, -7, -6, -7, -6, -7, -6, -7, -6, -7, -6, -7, -6]"
8-Puzzle,49,Hill Climbing (Steepest),"(8, 0, 7, 6, 5, 4, 1, 3, 2)","(0, 8, 7, 6, 5, 4, 1, 3, 2)",-17,-16,-1,inf,1.0,inf,False,1,0.00011157989501953125,"[-17, -16]"
8-Puzzle,49,Hill Climbing (First Choice),"(8, 0, 7, 6, 5, 4, 1, 3, 2)","(0, 8, 7, 6, 5, 4, 1, 3, 2)",-17,-16,-1,inf,1.0,inf,False,1,0.0001308917999267578,"[-17, -16]"
8-Puzzle,49,Hill Climbing (Random Restart),"(8, 0, 7, 6, 5, 4, 1, 3, 2)","(5, 1, 2, 3, 4, 0, 7, 8, 6)",-17,-7,-10,inf,30.0,inf,False,30,0.0008070468902587891,"[-14, -13, -12, -12, -11, -10, -15, -14, -16, -15, -14, -13, -12, -11, -10, -9, -8, -7, -12, -11, -10, -9, -12, -15, -14, -16, -15, -14, -15, -14, -13]"
8-Puzzle,49,Simulated Annealing (Exponential),"(8, 0, 7, 6, 5, 4, 1, 3, 2)","(3, 4, 2, 6, 7, 5, 1, 0, 8)",-17,-7,-10,inf,964.0,inf,False,964,0.005013465881347656,"[-17, -16, -17, -18, -17, -16, -17, -16, -17, -16, -17, -16, -17, -16, -17, -16, -17, -16, -15, -14, -15, -14, -15, -16, -15, -14, -15, -16, -15, -14, -15, -14, -15, -16, -15, -16, -15, -16, -15, -16, -15, -14, -15, -14, -15, -14, -13, -12, -13, -12, -13, -12, -13, -12, -13, -12, -13, -14, -13, -14, -15, -16, -15, -16, -17, -16, -17, -16, -17, -16, -17, -16, -15, -16, -17, -16, -17, -18, -17, -18, -19, -18, -19, -18, -17, -16, -17, -16, -15, -16, -15, -14, -15, -14, -15, -14, -15, -16, -15, -14, -15, -14, -15, -16, -15, -14, -15, -16, -15, -16, -15, -16, -15, -14, -15, -14, -15, -16, -15, -14, -15, -14, -15, -14, -15, -14, -15, -16, -15, -16, -15, -14, -15, -14, -15, -16, -17, -16, -15, -16, -15, -16, -15, -14, -15, -16, -15, -14, -15, -16, -17, -16, -17, -18, -17, -16, -17, -16, -17, -16, -17, -16, -17, -18, -17, -18, -17, -16, -17, -16, -15, -14, -15, -16, -15, -16, -15, -16, -15, -14, -15, -14, -15, -14, -15, -16, -17, -16, -17, -16, -17, -16, -17, -18, -19, -18, -17, -18, -17, -16, -17, -18, -17, -16, -17, -18, -17, -16, -17, -18, -17, -16, -15, -14, -15, -14, -13, -14, -13, -14, -13, -12, -13, -14, -13, -14, -13, -14, -15, -14, -15, -14, -15, -14, -13, -12, -13, -14, -13, -12, -13, -12, -13, -14, -13, -14, -13, -12, -13, -14, -13, -12, -13, -14, -13, -14, -13, -12, -13, -12, -13, -12, -13, -12, -13, -14, -13, -12, -13, -12, -13, -12, -13, -12, -13, -12, -13, -12, -13, -12, -13, -12, -13, -14, -13, -12, -13, -12, -13, -12, -13, -12, -13, -12, -13, -14, -15, -14, -13, -12, -13, -14, -15, -14, -13, -12, -13, -12, -13, -14, -13, -12, -13, -12, -13, -14, -13, -12, -13, -14, -13, -14, -15, -14, -13, -14, -13, -14, -13, -12, -13, -12, -13, -12, -13, -14, -13, -14, -15, -14, -13, -14, -13, -14, -15, -14, -15, -14, -15, -14, -15, -14, -15, -14, -13, -14, -13, -14, -13, -14, -15, -14, -13, -14, -13, -12, -13, -12, -13, -14, -15, -14, -15, -16, -17, -16, -15, -14, -15, -14, -13, -14, -15, -14, -15, -16, -15, -14, -13, -14, -13, -14, -13, -14, -13, -12, -13, -12, -13, -14, -13, -14, -13, -14, -13, -14, -13, -14, -13, -14, -13, -14, -13, -14, -13, -14, -13, -14, -13, -12, -13, -14, -13, -12, -13, -12, -13, -12, -13, -14, -13, -12, -13, -12, -13, -14, -13, -14, -13, -14, -13, -14, -15, -14, -15, -14, -15, -14, -13, -12, -13, -12, -13, -12, -13, -12, -11, -12, -13, -12, -13, -12, -13, -12, -13, -12, -13, -12, -13, -14, -13, -12, -13, -12, -13, -14, -13, -14, -13, -12, -11, -12, -11, -10, -11, -10, -11, -12, -11, -12, -13, -12, -11, -12, -13, -14, -13, -14, -13, -14, -13, -12, -11, -12, -11, -12, -13, -14, -15, -14, -15, -14, -13, -14, -13, -14, -13, -14, -13, -14, -15, -16, -15, -14, -15, -14, -13, -12, -13, -12, -13, -12, -13, -12, -13, -14, -15, -16, -17, -16, -15, -16, -15, -14, -15, -14, -15, -14, -15, -14, -15, -16, -15, -16, -15, -16, -15, -16, -15, -14, -15, -14, -15, -14, -15, -14, -13, -12, -13, -12, -13, -12, -13, -12, -13, -12, -13, -14, -13, -14, -13, -14, -13, -14, -15, -14, -13, -14, -13, -12, -11, -12, -11, -12, -11, -12, -11, -10, -11, -10, -9, -8, -9, -10, -11, -10, -11, -12, -11, -12, -11, -10, -11, -12, -11, -12, -11, -12, -11, -10, -9, -10, -9, -10, -9, -8, -9, -8, -7, -8, -7, -6, -5, -6, -5, -4, -5, -4, -5, -6, -5, -6, -5, -4, -3, -2, -1, -2, -3, -4, -3, -4, -5, -4, -3, -2, -1, -2, -1, -2, -1, -2, -1, -2, -3, -4, -3, -4, -3, -4, -5, -6, -7, -8, -7, -8, -7, -8, -7, -6, -5, -6, -7, -8, -9, -10, -9, -10, -9, -10, -11, -10, -9, -8, -9, -10, -11, -12, -11, -12, -13, -14, -13, -14, -15, -14, -13, -14, -13, -14, -15, -14, -15, -14, -13, -12, -13, -14, -13, -12, -11, -10, -11, -10, -9, -8, -9, -8, -9, -8, -9, -8, -9, -8, -9, -8, -9, -8, -7, -8, -9, -8, -9, -8, -9, -8, -9, -8, -7, -8, -7, -6, -5, -4, -5, -6, -7, -6, -5, -4, -5, -4, -5, -4, -3, -4, -3, -4, -5, -4, -5, -4, -5, -6, -5, -6, -5, -4, -5, -4, -5, -6, -7, -8, -7, -8, -9, -8, -9, -8, -9, -8, -9, -8, -7, -8, -9, -10, -9, -10, -11, -10, -11, -10, -9, -10, -9, -10, -9, -8, -9, -8, -7, -8, -7, -8, -7, -8, -7, -8, -7, -8, -9, -8, -9, -8, -9, -8, -9, -8, -9, -8, -9, -8, -9, -8, -7, -8, -9, -8, -9, -10, -9, -8, -9, -8, -9, -10, -9, -8, -9, -8, -7, -8, -7, -8, -7, -8, -7, -8, -9, -8, -7, -8, -7, -8, -9, -10, -9, -10, -9, -10, -11, -12, -13, -12, -11, -12, -11, -12, -11, -10, -11, -10, -11, -12, -11, -12, -11, -10, -11, -10, -9, -10, -9, -8, -9, -8, -9, -8, -9, -8, -9, -8, -9, -8, -9, -10, -9, -10, -11, -12, -11, -12, -13, -14, -13, -12, -13, -14, -13, -12, -11, -12, -11, -10, -9, -10, -9, -8, -9, -8, -9, -8, -9, -8, -9, -10, -9, -8, -7, -8, -7, -8, -7, -6, -7, -6, -7, -6, -5, -6, -7, -6, -7, -6, -5, -6, -5, -6, -5, -6, -5, -6, -7]"
8-Puzzle,49,Simulated Annealing (Linear),"(8, 0, 7, 6, 5, 4, 1, 3, 2)","(1, 8, 2, 0, 4, 5, 6, 7, 3)",-17,-7,-10,inf,224.0,inf,False,224,0.006473064422607422,"[-17, -16, -17, -16, -17, -16, -17, -16, -17, -16, -17, -18, -17, -16, -17, -16, -17, -16, -17, -16, -17, -16, -17, -16, -17, -16, -17, -16, -17, -16, -17, -16, -15, -14, -15, -14, -15, -16, -15, -14, -15, -14, -15, -14, -15, -14, -15, -14, -15, -14, -15, -16, -15, -14, -15, -14, -15, -16, -15, -14, -15, -14, -15, -14, -15, -16, -15, -14, -15, -14, -15, -16, -15, -16, -15, -16, -15, -14, -15, -14, -15, -14, -15, -14, -15, -14, -15, -14, -15, -14, -15, -14, -15, -14, -15, -14, -15, -14, -13, -12, -13, -12, -13, -12, -13, -12, -13, -12, -13, -12, -13, -12, -13, -14, -13, -14, -13, -12, -13, -12, -13, -12, -13, -14, -13, -12, -13, -12, -13, -12, -13, -12, -13, -12, -11, -10, -11, -10, -11, -10, -11, -10, -11, -10, -11, -10, -11, -12, -11, -10, -11, -10, -11, -10, -11, -12, -13, -12, -13, -12, -13, -12, -13, -12, -13, -12, -13, -12, -13, -12, -13, -12, -13, -12, -13, -12, -11, -10, -11, -12, -11, -10, -9, -8, -9, -8, -7, -8, -7, -8, -7, -6, -7, -6, -7, -6, -7, -6, -7, -6, -7, -6, -7, -6, -7, -6, -7, -6, -7, -6, -7, -8, -7, -8, -7, -8, -7, -8, -7, -8, -7, -8, -7, -8, -7]"
8-Queens,0,Hill Climbing (Steepest),"(6, 7, 0, 3, 4, 5, 1, 2)","(6, 3, 0, 0, 7, 5, 1, 2)",-7,-2,-5,,,,False,3,0.0015330314636230469,"[-7, -5, -3, -2]"
8-Queens,0,Hill Climbing (First Choice),"(6, 7, 0, 3, 4, 5, 1, 2)","(5, 7, 0, 3, 6, 6, 1, 2)",-7,-2,-5,,,,False,4,0.0006945133209228516,"[-7, -6, -5, -3, -2]"
8-Queens,0,Hill Climbing (Random Restart),"(6, 7, 0, 3, 4, 5, 1, 2)","(1, 7, 5, 0, 2, 4, 6, 3)",-7,0,-7,,,,True,36,0.01002812385559082,"[-5, -3, -1, -6, -3, -8, -5, -3, -2, -6, -5, -3, -2, -1, -5, -3, -2, -5, -3, -1, -6, -3, -2, -7, -5, -3, -2, -5, -4, -3, -2, -11, -8, -5, -3, -2, 0]"
8-Queens,0,Simulated Annealing (Exponential),"(6, 7, 0, 3, 4, 5, 1, 2)","(7, 7, 5, 6, 1, 6, 2, 6)",-7,-7,0,,,,False,959,0.020798206329345703,"[-7, -11, -10, -8, -7, -8, -8, -7, -5, -5, -7, -7, -7, -4, -4, -4, -6, -8, -10, -9, -10, -13, -16, -11, -9, -10, -11, -13, -9, -9, -10, -11, -10, -8, -8, -7, -10, -7, -9, -7, -6, -6, -6, -8, -10, -8, -7, -7, -8, -7, -7, -7, -7, -7, -8, -8, -7, -8, -7, -11, -11, -11, -7, -6, -8, -6, -6, -7, -8, -8, -7, -6, -8, -8, -8, -10, -10, -9, -8, -7, -7, -6, -4, -6, -7, -6, -7, -4, -7, -8, -9, -12, -10, -10, -8, -7, -8, -8, -8, -8, -6, -6, -8, -10, -9, -7, -9, -8, -9, -7, -3, -3, -3, -4, -6, -9, -11, -12, -11, -11, -11, -7, -7, -7, -5, -7, -8, -6, -6, -10, -8, -9, -9, -8, -4, -5, -5, -8, -6, -5, -8, -11, -10, -12, -12, -10, -10, -11, -10, -11, -12, -11, -8, -8, -9, -6, -7, -7, -4, -4, -7, -7, -6, -8, -7, -8, -5, -4, -5, -7, -8, -9, -5, -9, -7, -7, -9, -11, -10, -12, -10, -7, -7, -6, -6, -9, -10, -12, -11, -15, -14, -12, -10, -7, -6, -7, -4, -3, -5, -6, -8, -11, -11, -10, -6, -6, -6, -9, -6, -7, -8, -9, -11, -9, -8, -8, -7, -8, -10, -9, -10, -7, -7, -8, -6, -5, -7, -7, -7, -5, -8, -7, -9, -8, -8, -9, -7, -7, -5, -6, -7, -8, -7, -10, -12, -10, -11, -7, -5, -6, -9, -9, -7, -5, -6, -6, -6, -9, -10, -8, -9, -10, -9, -11, -10, -6, -4, -5, -6, -5, -6, -7, -7, -8, -8, -9, -9, -9, -10, -10, -10, -6, -10, -8, -8, -7, -8, -12, -8, -9, -8, -7, -7, -8, -6, -7, -8, -10, -9, -14, -9, -8, -5, -5, -5, -3, -3, -4, -6, -5, -6, -6, -5, -7, -5, -6, -4, -5, -5, -6, -8, -7, -5, -4, -5, -6, -4, -4, -5, -5, -9, -7, -4, -7, -4, -7, -7, -7, -10, -10, -9, -11, -10, -9, -8, -9, -8, -7, -6, -5, -3, -3, -6, -8, -6, -8, -6, -4, -7, -5, -5, -7, -7, -6, -7, -7, -7, -6, -6, -10, -9, -9, -8, -12, -11, -12, -9, -6, -5, -5, -9, -8, -6, -9, -6, -6, -5, -3, -4, -4, -6, -5, -7, -4, -5, -6, -5, -5, -6, -5, -5, -7, -6, -6, -7, -5, -5, -6, -5, -6, -8, -9, -11, -8, -10, -9, -7, -7, -6, -6, -5, -4, -5, -9, -12, -12, -10, -10, -11, -9, -11, -13, -13, -15, -14, -12, -9, -9, -6, -6, -4, -6, -6, -6, -6, -5, -7, -7, -8, -8, -6, -4, -6, -6, -4, -5, -5, -8, -8, -7, -8, -5, -4, -3, -5, -4, -7, -5, -4, -5, -6, -7, -7, -7, -7, -10, -13, -12, -9, -8, -9, -7, -10, -11, -8, -10, -9, -9, -10, -9, -10, -7, -6, -7, -7, -5, -7, -7, -8, -11, -9, -8, -8, -7, -8, -8, -6, -7, -9, -12, -8, -7, -8, -7, -6, -8, -8, -9, -10, -11, -10, -11, -10, -10, -10, -10, -9, -9, -9, -7, -7, -9, -8, -7, -6, -6, -3, -5, -4, -7, -8, -8, -6, -8, -9, -10, -10, -9, -10, -9, -9, -8, -8, -9, -7, -7, -6, -6, -6, -6, -5, -7, -6, -6, -7, -11, -12, -9, -9, -9, -8, -6, -8, -7, -8, -10, -11, -11, -9, -7, -10, -8, -10, -10, -8, -12, -10, -9, -8, -9, -7, -6, -9, -6, -6, -5, -6, -8, -11, -11, -10, -9, -10, -7, -9, -7, -8, -9, -8, -5, -6, -6, -6, -5, -6, -7, -11, -10, -8, -8, -8, -8, -6, -7, -5, -4, -6, -9, -7, -5, -6, -4, -6, -7, -5, -8, -7, -7, -6, -7, -9, -6, -8, -11, -12, -9, -9, -6, -6, -7, -5, -5, -3, -3, -6, -3, -5, -6, -6, -5, -6, -5, -5, -4, -6, -7, -8, -9, -8, -11, -7, -7, -6, -6, -8, -8, -8, -13, -12, -12, -9, -11, -8, -9, -11, -8, -8, -6, -8, -8, -6, -6, -5, -9, -12, -11, -11, -10, -7, -7, -8, -7, -11, -12, -10, -9, -7, -4, -5, -7, -8, -7, -4, -6, -4, -4, -7, -8, -7, -9, -7, -7, -11, -12, -12, -10, -8, -6, -6, -6, -6, -8, -9, -10, -9, -10, -8, -9, -9, -9, -10, -11, -10, -8, -6, -5, -6, -7, -8, -7, -6, -7, -6, -5, -6, -4, -5, -7, -5, -4, -3, -3, -5, -6, -8, -9, -10, -10, -8, -7, -7, -7, -4, -4, -5, -6, -9, -9, -8, -7, -11, -15, -11, -13, -12, -10, -12, -9, -7, -5, -6, -6, -5, -4, -6, -7, -10, -10, -8, -10, -10, -11, -8, -5, -6, -4, -5, -7, -8, -8, -10, -9, -8, -7, -9, -9, -8, -6, -6, -5, -6, -7, -6, -4, -5, -8, -7, -9, -5, -3, -5, -7, -7, -9, -9, -7, -6, -8, -8, -9, -8, -8, -11, -9, -7, -8, -5, -8, -8, -9, -7, -7, -9, -10, -12, -10, -8, -6, -6, -5, -6, -7, -4, -7, -5, -7, -7, -9, -9, -7, -7, -7, -8, -7, -9, -9, -10, -9, -7, -7, -6, -6, -7, -5, -4, -3, -4, -5, -6, -6, -7, -6, -6, -4, -4, -4, -3, -3, -5, -7, -7, -5, -4, -2, -2, -6, -5, -7, -7, -8, -9, -8, -9, -11, -10, -10, -9, -10, -7, -7, -6, -9, -8, -8, -9, -5, -6, -9, -10, -10, -13, -13, -12, -11, -7, -11, -7, -5, -7, -8, -11, -12, -13, -9, -7, -5, -4, -7, -6, -8, -10, -9, -9, -11, -10, -8, -7, -8, -6, -7]"
8-Queens,0,Simulated Annealing (Linear),"(6, 7, 0, 3, 4, 5, 1, 2)","(1, 6, 4, 7, 0, 3, 5, 2)",-7,0,-7,,,,True,228,0.02368617057800293,"[-7, -6, -6, -7, -7, -10, -10, -9, -7, -5, -4, -4, -4, -4, -3, -3, -2, -2, -3, -3, -5, -4, -5, -4, -5, -6, -6, -5, -7, -7, -4, -5, -6, -5, -6, -4, -4, -3, -4, -5, -5, -5, -5, -4, -3, -5, -5, -4, -4, -4, -3, -1, -2, -2, -3, -2, -1, -2, -1, -3, -4, -2, -2, -3, -4, -4, -4, -3, -4, -5, -5, -4, -4, -4, -3, -3, -3, -2, -2, -2, 0, -1, -3, -3, -3, -2, -2, -2, -3, -2, -1, -1, -3, -3, -5, -5, -4, -6, -6, -5, -4, -4, -4, -4, -5, -5, -5, -6, -7, -5, -4, -5, -4, -5, -5, -5, -5, -5, -3, -4, -4, -3, -3, -2, -2, -2, -3, -3, -3, -2, -3, -3, -3, -4, -2, -2, -2, -2, -2, -3, -2, -2, -2, -2, -2, -3, -4, -3, -3, -3, -3, -4, -5, -5, -4, -4, -3, -3, -3, -3, -4, -4, -4, -3, -3, -2, -2, -2, -3, -3, -2, -2, -2, -2, -2, -1, -1, -1, -1, -3, -3, -3, -4, -3, -3, -3, -3, -3, -4, -4, -4, -4, -4, -4, -5, -4, -4, -5, -5, -3, -3, -3, -3, -3, -3, -3, -3, -4, -3, -2, -2, -2, -3, -3, -2, -3, -2, -1, -1, -2, -3, -3, -3, -3, -3, -3, -1, -1, 0]"
8-Queens,1,Hill Climbing (Steepest),"(0, 1, 7, 6, 4, 2, 5, 3)","(1, 3, 0, 6, 4, 2, 5, 3)",-4,-1,-3,,,,False,3,0.0013153553009033203,"[-4, -3, -2, -1]"
8-Queens,1,Hill Climbing (First Choice),"(0, 1, 7, 6, 4, 2, 5, 3)","(6, 2, 7, 1, 4, 0, 5, 3)",-4,0,-4,,,,True,4,0.0015513896942138672,"[-4, -3, -2, -1, 0]"
8-Queens,1,Hill Climbing (Random Restart),"(0, 1, 7, 6, 4, 2, 5, 3)","(4, 6, 1, 3, 7, 0, 2, 5)",-4,0,-4,,,,True,35,0.013127326965332031,"[-3, -2, -1, -4, -3, -2, 0, -2, -5, -3, -1, -5, -3, -2, -12, -8, -5, -3, -2, -1, -8, -5, -3, -2, -1, -5, -3, -2, -1, 0, -3, -5, -4, -3, -2, -1]"
8-Queens,1,Simulated Annealing (Exponential),"(0, 1, 7, 6, 4, 2, 5, 3)","(1, 4, 1, 1, 7, 1, 0, 2)",-4,-8,4,,,,False,968,0.020702838897705078,"[-4, -3, -5, -8, -7, -6, -9, -8, -7, -6, -8, -7, -6, -8, -8, -7, -5, -4, -7, -11, -7, -6, -5, -7, -10, -7, -9, -7, -5, -4, -5, -4, -9, -8, -9, -8, -8, -10, -9, -10, -9, -10, -12, -11, -9, -9, -7, -7, -8, -7, -7, -9, -7, -9, -9, -9, -9, -9, -8, -9, -9, -7, -7, -8, -7, -6, -5, -5, -7, -7, -8, -11, -9, -9, -6, -7, -10, -13, -10, -10, -6, -6, -7, -7, -7, -6, -6, -8, -8, -8, -8, -10, -5, -6, -7, -6, -6, -7, -7, -8, -7, -9, -8, -6, -5, -8, -9, -8, -7, -7, -5, -5, -4, -4, -4, -2, -5, -6, -7, -8, -9, -12, -13, -14, -14, -12, -11, -8, -7, -7, -7, -5, -4, -6, -4, -6, -5, -7, -9, -8, -8, -6, -6, -4, -5, -6, -5, -6, -10, -9, -9, -8, -8, -10, -10, -7, -8, -6, -8, -10, -10, -10, -7, -7, -8, -12, -12, -8, -9, -8, -10, -8, -6, -7, -7, -6, -7, -10, -11, -10, -12, -8, -9, -7, -6, -8, -7, -9, -8, -6, -4, -5, -7, -8, -7, -9, -11, -11, -12, -10, -10, -9, -9, -7, -7, -9, -9, -8, -9, -10, -10, -10, -8, -7, -7, -8, -8, -8, -9, -8, -9, -10, -8, -7, -6, -7, -6, -8, -12, -8, -9, -7, -5, -8, -10, -13, -10, -12, -10, -11, -9, -7, -5, -6, -5, -6, -5, -5, -5, -5, -8, -6, -5, -6, -5, -5, -4, -6, -7, -10, -9, -10, -7, -9, -7, -4, -5, -4, -6, -8, -8, -8, -11, -7, -5, -7, -8, -9, -7, -6, -6, -6, -5, -4, -3, -5, -7, -7, -10, -9, -6, -8, -6, -8, -7, -6, -5, -4, -3, -5, -4, -4, -8, -9, -11, -10, -8, -10, -7, -6, -8, -9, -10, -9, -12, -11, -7, -6, -7, -7, -7, -7, -7, -8, -8, -8, -9, -10, -10, -7, -6, -8, -5, -6, -6, -6, -8, -9, -7, -9, -7, -7, -8, -9, -9, -6, -9, -5, -7, -6, -9, -10, -10, -9, -8, -8, -10, -8, -9, -8, -11, -11, -9, -8, -6, -6, -8, -10, -8, -4, -6, -6, -5, -6, -4, -3, -7, -6, -7, -6, -4, -5, -5, -7, -9, -5, -3, -1, -3, -5, -6, -5, -5, -6, -6, -7, -9, -10, -9, -9, -8, -5, -6, -5, -6, -8, -10, -9, -5, -11, -5, -5, -5, -7, -7, -8, -5, -6, -7, -9, -12, -9, -8, -5, -4, -4, -5, -6, -5, -6, -8, -13, -12, -9, -10, -9, -10, -10, -10, -10, -7, -7, -5, -6, -6, -6, -7, -7, -7, -9, -10, -9, -10, -15, -11, -8, -10, -9, -7, -5, -5, -6, -7, -9, -12, -8, -5, -5, -4, -5, -4, -4, -3, -4, -4, -5, -5, -7, -10, -8, -5, -7, -9, -8, -10, -10, -13, -10, -12, -9, -11, -10, -6, -9, -7, -9, -12, -11, -9, -7, -6, -4, -5, -5, -4, -5, -4, -6, -8, -6, -5, -5, -6, -5, -7, -10, -10, -8, -7, -6, -5, -6, -6, -4, -5, -7, -9, -7, -7, -6, -7, -6, -4, -4, -5, -5, -5, -6, -6, -8, -8, -5, -8, -8, -6, -6, -8, -5, -3, -4, -6, -4, -4, -4, -4, -3, -4, -5, -7, -7, -12, -10, -12, -12, -11, -13, -11, -10, -7, -8, -8, -9, -7, -6, -9, -10, -9, -8, -9, -8, -7, -5, -5, -8, -9, -8, -10, -10, -8, -10, -8, -7, -8, -7, -10, -7, -9, -11, -12, -11, -8, -5, -5, -8, -7, -6, -7, -7, -5, -5, -5, -5, -5, -6, -5, -6, -4, -4, -6, -6, -8, -7, -9, -10, -8, -8, -7, -5, -8, -7, -6, -8, -9, -7, -9, -9, -10, -7, -5, -6, -4, -5, -4, -5, -5, -5, -6, -5, -5, -7, -8, -9, -11, -8, -10, -12, -12, -11, -12, -11, -9, -7, -5, -7, -10, -8, -7, -4, -6, -6, -6, -8, -7, -5, -7, -4, -5, -6, -8, -11, -9, -9, -9, -9, -10, -7, -6, -5, -5, -6, -5, -5, -7, -6, -6, -7, -8, -8, -8, -8, -10, -11, -10, -7, -5, -5, -5, -6, -7, -9, -8, -10, -7, -7, -6, -7, -9, -7, -7, -6, -7, -7, -7, -6, -5, -8, -6, -3, -5, -5, -3, -5, -3, -5, -9, -6, -9, -11, -10, -9, -6, -6, -6, -8, -11, -13, -13, -14, -10, -10, -8, -6, -5, -8, -7, -9, -8, -10, -9, -9, -9, -9, -7, -9, -7, -7, -7, -7, -7, -7, -5, -6, -8, -8, -7, -9, -12, -10, -10, -10, -8, -10, -9, -9, -10, -9, -7, -10, -11, -12, -11, -9, -10, -10, -8, -11, -9, -8, -6, -6, -9, -10, -9, -9, -8, -8, -10, -8, -8, -11, -8, -9, -8, -8, -10, -6, -8, -12, -14, -13, -8, -6, -5, -7, -7, -7, -7, -11, -9, -10, -10, -11, -9, -10, -10, -10, -8, -7, -9, -9, -8, -10, -9, -10, -8, -7, -8, -7, -6, -5, -6, -8, -6, -5, -6, -6, -6, -6, -9, -10, -10, -8, -9, -8, -8, -8, -8, -4, -7, -7, -4, -4, -4, -6, -9, -9, -8, -5, -6, -6, -6, -5, -5, -6, -7, -6, -8, -8, -10, -10, -11, -9, -9, -4, -6, -7, -9, -7, -5, -3, -4, -4, -7, -4, -7, -8, -6, -7, -6, -5, -6, -6, -6, -6, -8, -7, -9, -10, -13, -13, -9, -8, -8, -10, -11, -16, -21, -23, -20, -14, -13, -11, -11, -8, -7, -8, -7, -5, -5, -5, -5, -7, -6, -7, -6, -4, -6, -6, -5, -4, -4, -5, -6, -6, -9, -5, -7, -8, -9, -8, -7, -8, -7, -7, -8, -12, -14, -11, -8]"
8-Queens,1,Simulated Annealing (Linear),"(0, 1, 7, 6, 4, 2, 5, 3)","(3, 5, 2, 6, 1, 7, 4, 0)",-4,-1,-3,,,,False,242,0.021456003189086914,"[-4, -6, -8, -8, -7, -7, -7, -7, -7, -7, -5, -5, -5, -5, -5, -5, -5, -6, -6, -5, -4, -4, -4, -5, -6, -5, -6, -6, -6, -6, -6, -6, -4, -4, -4, -4, -4, -4, -3, -3, -2, -2, -2, -2, -4, -6, -4, -6, -3, -4, -3, -3, -3, -4, -5, -4, -4, -5, -4, -4, -3, -4, -3, -5, -5, -5, -4, -4, -4, -4, -5, -4, -3, -3, -4, -4, -4, -4, -4, -4, -4, -3, -4, -4, -4, -4, -4, -3, -3, -3, -3, -3, -3, -2, -4, -5, -6, -6, -5, -6, -5, -5, -4, -2, -1, -3, -5, -4, -4, -5, -3, -4, -5, -5, -5, -4, -3, -3, -2, -1, -1, -3, -3, -2, -2, -3, -6, -4, -3, -4, -4, -3, -3, -3, -3, -3, -3, -2, -3, -3, -3, -4, -4, -3, -4, -3, -2, -3, -3, -2, -3, -4, -5, -4, -3, -4, -4, -5, -5, -5, -5, -4, -4, -3, -3, -2, -3, -3, -3, -3, -4, -5, -4, -4, -2, -2, -2, -2, -2, -2, -1, -2, -1, -1, -1, -1, -1, -1, -2, -2, -2, -3, -4, -4, -3, -3, -3, -2, -3, -4, -2, -4, -4, -3, -3, -2, -2, -2, -2, -2, -3, -3, -3, -3, -3, -3, -3, -3, -2, -3, -2, -2, -2, -1, -1, -2, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
8-Queens,2,Hill Climbing (Steepest),"(2, 4, 3, 6, 7, 5, 1, 0)","(2, 0, 3, 6, 7, 5, 1, 1)",-5,-2,-3,,,,False,2,0.0009059906005859375,"[-5, -3, -2]"
8-Queens,2,Hill Climbing (First Choice),"(2, 4, 3, 6, 7, 5, 1, 0)","(2, 5, 3, 6, 7, 5, 1, 0)",-5,-3,-2,,,,False,1,0.0003173351287841797,"[-5, -3]"
